Compliance Year,RIN Year,Categories,Fuel (D Code),Assignment,Total RINs
"2026","2026","Exporter","D3","Assigned","16,026,632"
"2026","2026","Exporter","D3","Separated","1,385,974"
"2026","2026","Exporter","D4","Assigned","568,569,218"
"2026","2026","Exporter","D4","Separated","119,472,066"
"2026","2026","Exporter","D5","Assigned","11,687,204"
"2026","2026","Exporter","D5","Separated","1,900,000"
"2026","2026","Exporter","D6","Assigned","4,608,216,418"
"2026","2026","Exporter","D6","Separated","221,681,150"
"2026","2026","Obligated Party","D3","Separated","239,070,898"
"2026","2026","Obligated Party","D4","Separated","1,211,064,005"
"2026","2026","Obligated Party","D4","Assigned","34,600,199"
"2026","2026","Obligated Party","D5","Separated","51,859,681"
"2026","2026","Obligated Party","D6","Separated","3,151,086,684"
"2026","2026","Obligated Party","D6","Assigned","31,398,475"
"2026","2026","RIN Originator","D3","Separated","692,715,517"
"2026","2026","RIN Originator","D3","Assigned","32,572,255"
"2026","2026","RIN Originator","D4","Assigned","1,799,467,961"
"2026","2026","RIN Originator","D4","Separated","692,647,196"
"2026","2026","RIN Originator","D5","Assigned","26,254,455"
"2026","2026","RIN Originator","D5","Separated","2,153,220"
"2026","2026","RIN Originator","D6","Assigned","6,417,468,812"
"2026","2026","RIN Originator","D6","Separated","100,523,521"
"2026","2026","RIN Originator","D7","Separated","9,226"
"2026","2026","RIN Owner","D3","Separated","955,304,422"
"2026","2026","RIN Owner","D3","Assigned","12,056,965"
"2026","2026","RIN Owner","D4","Separated","2,012,001,615"
"2026","2026","RIN Owner","D4","Assigned","376,524,295"
"2026","2026","RIN Owner","D5","Assigned","15,930,183"
"2026","2026","RIN Owner","D5","Separated","3,323,298"
"2026","2026","RIN Owner","D6","Separated","2,957,708,636"
"2026","2026","RIN Owner","D6","Assigned","2,134,047,448"
"2026","2026","RIN Owner","D7","Separated","9,226"
"2026","2025","Exporter","D3","Assigned","3,067,171"
"2026","2025","Exporter","D3","Separated","2,372,731"
"2026","2025","Exporter","D4","Assigned","36,666,661"
"2026","2025","Exporter","D4","Separated","7,893,523"
"2026","2025","Exporter","D5","Assigned","11,612,254"
"2026","2025","Exporter","D5","Separated","3,279,563"
"2026","2025","Exporter","D6","Assigned","377,627,120"
"2026","2025","Exporter","D6","Separated","144,002,762"
"2026","2025","Obligated Party","D3","Separated","218,178,315"
"2026","2025","Obligated Party","D4","Separated","1,451,904,992"
"2026","2025","Obligated Party","D4","Assigned","22,536,577"
"2026","2025","Obligated Party","D5","Separated","13,672,686"
"2026","2025","Obligated Party","D6","Separated","1,851,910,206"
"2026","2025","Obligated Party","D6","Assigned","1,734,952"
"2026","2025","RIN Originator","D3","Separated","206,262,319"
"2026","2025","RIN Originator","D4","Separated","184,433,157"
"2026","2025","RIN Originator","D4","Assigned","66,680,684"
"2026","2025","RIN Originator","D5","Separated","1,833,558"
"2026","2025","RIN Originator","D5","Assigned","1,284,094"
"2026","2025","RIN Originator","D6","Separated","51,473,028"
"2026","2025","RIN Originator","D6","Assigned","20,866,596"
"2026","2025","RIN Owner","D3","Separated","696,378,752"
"2026","2025","RIN Owner","D3","Assigned","127,084"
"2026","2025","RIN Owner","D4","Separated","1,758,048,560"
"2026","2025","RIN Owner","D4","Assigned","29,558,849"
"2026","2025","RIN Owner","D5","Assigned","13,196,464"
"2026","2025","RIN Owner","D5","Separated","9,848,468"
"2026","2025","RIN Owner","D6","Separated","3,335,771,105"
"2026","2025","RIN Owner","D6","Assigned","132,987,985"
"2026","2024","Exporter","D3","Assigned","430,156"
"2026","2024","Exporter","D3","Separated","81,928"
"2026","2024","Exporter","D4","Separated","34,002"
"2026","2024","Exporter","D5","Assigned","458,422"
"2026","2024","Exporter","D6","Separated","2,323,237"
"2026","2024","Exporter","D6","Assigned","195,355"
"2026","2024","Obligated Party","D3","Separated","17,750,545"
"2026","2024","Obligated Party","D4","Separated","114,127,362"
"2026","2024","Obligated Party","D5","Separated","974,094"
"2026","2024","Obligated Party","D6","Separated","277,947,994"
"2026","2024","RIN Originator","D3","Separated","9,454"
"2026","2024","RIN Originator","D4","Assigned","34,002"
"2026","2024","RIN Originator","D4","Separated","34,002"
"2026","2024","RIN Originator","D5","Separated","110,591"
"2026","2024","RIN Originator","D6","Separated","4,230,020"
"2026","2024","RIN Originator","D6","Assigned","30,994"
"2026","2024","RIN Owner","D3","Separated","16,551,890"
"2026","2024","RIN Owner","D4","Separated","241,597,872"
"2026","2024","RIN Owner","D5","Separated","3,344,450"
"2026","2024","RIN Owner","D5","Assigned","972,288"
"2026","2024","RIN Owner","D6","Separated","299,087,610"
"2026","2023","RIN Owner","D6","Separated","16,800"
"2026","2021","RIN Owner","D6","Separated","8,000"
"2026","2018","RIN Owner","D4","Separated","6,321"
"2026","2018","RIN Owner","D6","Separated","7,863"
"2025","2025","Exporter","D3","Separated","234,033,750"
"2025","2025","Exporter","D3","Assigned","11,493,242"
"2025","2025","Exporter","D4","Assigned","1,257,556,194"
"2025","2025","Exporter","D4","Separated","1,183,048,929"
"2025","2025","Exporter","D5","Assigned","53,294,023"
"2025","2025","Exporter","D5","Separated","4,267,048"
"2025","2025","Exporter","D6","Assigned","7,049,031,006"
"2025","2025","Exporter","D6","Separated","1,894,363,744"
"2025","2025","Obligated Party","D3","Separated","640,298,307"
"2025","2025","Obligated Party","D3","Assigned","717,989"
"2025","2025","Obligated Party","D4","Separated","4,015,487,630"
"2025","2025","Obligated Party","D4","Assigned","106,551,220"
"2025","2025","Obligated Party","D5","Separated","104,782,705"
"2025","2025","Obligated Party","D5","Assigned","9,156"
"2025","2025","Obligated Party","D6","Separated","9,398,817,144"
"2025","2025","Obligated Party","D6","Assigned","1,427,050,806"
"2025","2025","RIN Originator","D3","Separated","1,608,825,733"
"2025","2025","RIN Originator","D3","Assigned","69,524,152"
"2025","2025","RIN Originator","D4","Assigned","2,848,023,048"
"2025","2025","RIN Originator","D4","Separated","1,562,372,419"
"2025","2025","RIN Originator","D5","Assigned","69,891,361"
"2025","2025","RIN Originator","D5","Separated","8,430,967"
"2025","2025","RIN Originator","D6","Assigned","12,317,939,629"
"2025","2025","RIN Originator","D6","Separated","639,513,311"
"2025","2025","RIN Originator","D7","Separated","224,874"
"2025","2025","RIN Owner","D3","Separated","2,134,105,277"
"2025","2025","RIN Owner","D3","Assigned","49,958,710"
"2025","2025","RIN Owner","D4","Separated","5,222,995,306"
"2025","2025","RIN Owner","D4","Assigned","798,775,473"
"2025","2025","RIN Owner","D5","Assigned","71,290,173"
"2025","2025","RIN Owner","D5","Separated","58,405,961"
"2025","2025","RIN Owner","D6","Separated","8,985,618,722"
"2025","2025","RIN Owner","D6","Assigned","6,689,126,944"
"2025","2025","RIN Owner","D7","Separated","224,874"
"2025","2024","Exporter","D3","Separated","80,693,737"
"2025","2024","Exporter","D3","Assigned","170,358"
"2025","2024","Exporter","D4","Separated","559,924,357"
"2025","2024","Exporter","D4","Assigned","139,427,537"
"2025","2024","Exporter","D5","Separated","7,847,742"
"2025","2024","Exporter","D5","Assigned","4,517,883"
"2025","2024","Exporter","D6","Separated","1,144,947,711"
"2025","2024","Exporter","D6","Assigned","240,261,427"
"2025","2024","Obligated Party","D3","Separated","247,969,108"
"2025","2024","Obligated Party","D4","Separated","1,709,836,730"
"2025","2024","Obligated Party","D4","Assigned","42,162,799"
"2025","2024","Obligated Party","D5","Separated","26,739,643"
"2025","2024","Obligated Party","D6","Separated","3,030,451,330"
"2025","2024","Obligated Party","D6","Assigned","46,120,479"
"2025","2024","RIN Originator","D3","Separated","201,040,261"
"2025","2024","RIN Originator","D3","Assigned","142,082"
"2025","2024","RIN Originator","D4","Separated","399,885,819"
"2025","2024","RIN Originator","D4","Assigned","42,047,794"
"2025","2024","RIN Originator","D5","Separated","5,003,577"
"2025","2024","RIN Originator","D5","Assigned","22,729"
"2025","2024","RIN Originator","D6","Separated","281,940,365"
"2025","2024","RIN Originator","D6","Assigned","35,051,559"
"2025","2024","RIN Owner","D3","Separated","287,079,049"
"2025","2024","RIN Owner","D3","Assigned","2,902,015"
"2025","2024","RIN Owner","D4","Separated","2,387,026,134"
"2025","2024","RIN Owner","D4","Assigned","104,297,306"
"2025","2024","RIN Owner","D5","Assigned","21,870,047"
"2025","2024","RIN Owner","D5","Separated","19,648,361"
"2025","2024","RIN Owner","D6","Separated","3,988,455,531"
"2025","2024","RIN Owner","D6","Assigned","203,354,577"
"2025","2023","Exporter","D3","Separated","11,616,009"
"2025","2023","Exporter","D4","Separated","121,424,925"
"2025","2023","Exporter","D5","Separated","7,035,712"
"2025","2023","Exporter","D6","Separated","262,048,845"
"2025","2023","Exporter","D6","Assigned","82,456"
"2025","2023","Obligated Party","D3","Separated","29,904,859"
"2025","2023","Obligated Party","D4","Separated","376,438,149"
"2025","2023","Obligated Party","D5","Separated","2,794,920"
"2025","2023","Obligated Party","D6","Separated","690,073,576"
"2025","2023","Obligated Party","D6","Assigned","57,120"
"2025","2023","RIN Originator","D4","Separated","1,126,675"
"2025","2023","RIN Originator","D4","Assigned","79,341"
"2025","2023","RIN Originator","D5","Separated","6"
"2025","2023","RIN Originator","D6","Assigned","317,084"
"2025","2023","RIN Originator","D6","Separated","182,284"
"2025","2023","RIN Owner","D3","Separated","52,321,457"
"2025","2023","RIN Owner","D4","Separated","564,298,633"
"2025","2023","RIN Owner","D4","Assigned","259,784"
"2025","2023","RIN Owner","D5","Separated","7,632,717"
"2025","2023","RIN Owner","D5","Assigned","2,691,297"
"2025","2023","RIN Owner","D6","Separated","999,949,181"
"2025","2023","RIN Owner","D6","Assigned","533,356"
"2025","2022","Exporter","D3","Separated","1,910,629"
"2025","2022","Exporter","D4","Separated","12,516,837"
"2025","2022","Exporter","D5","Separated","1,561,739"
"2025","2022","Exporter","D6","Separated","59,929,360"
"2025","2022","Obligated Party","D3","Separated","5,106,747"
"2025","2022","Obligated Party","D4","Separated","28,647,198"
"2025","2022","Obligated Party","D5","Separated","3,478,971"
"2025","2022","Obligated Party","D6","Separated","128,174,406"
"2025","2022","RIN Originator","D4","Assigned","10,320"
"2025","2022","RIN Originator","D6","Assigned","450"
"2025","2022","RIN Owner","D3","Separated","9,192,508"
"2025","2022","RIN Owner","D4","Separated","39,709,713"
"2025","2022","RIN Owner","D5","Separated","7,837,104"
"2025","2022","RIN Owner","D6","Separated","158,517,522"
"2025","2021","Exporter","D3","Separated","1,163,469"
"2025","2021","Exporter","D4","Separated","7,745,369"
"2025","2021","Exporter","D5","Separated","1,595,613"
