Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price
"6/28/2010","2010","2010","D6","Unverified","$0.01"
"7/5/2010","2010","2010","D6","Unverified","$0.02"
"7/12/2010","2010","2010","D6","Unverified","$0.02"
"7/19/2010","2010","2010","D6","Unverified","$0.04"
"7/26/2010","2010","2010","D6","Unverified","$0.01"
"8/2/2010","2010","2010","D6","Unverified","$0.03"
"8/9/2010","2010","2010","D6","Unverified","$0.02"
"8/16/2010","2010","2010","D6","Unverified","$0.02"
"8/23/2010","2010","2010","D6","Unverified","$0.01"
"8/30/2010","2010","2010","D6","Unverified","$0.07"
"9/6/2010","2010","2010","D6","Unverified","$0.03"
"9/13/2010","2010","2010","D6","Unverified","$0.02"
"9/20/2010","2010","2010","D6","Unverified","$0.02"
"9/27/2010","2010","2010","D6","Unverified","$0.03"
"10/4/2010","2010","2010","D6","Unverified","$0.02"
"10/11/2010","2010","2010","D6","Unverified","$0.02"
"10/18/2010","2010","2010","D6","Unverified","$0.03"
"10/25/2010","2010","2010","D6","Unverified","$0.03"
"11/1/2010","2010","2010","D6","Unverified","$0.03"
"11/8/2010","2010","2010","D6","Unverified","$0.03"
"11/15/2010","2010","2010","D6","Unverified","$0.03"
"11/22/2010","2010","2010","D6","Unverified","$0.02"
"11/29/2010","2010","2010","D6","Unverified","$0.02"
"12/6/2010","2010","2010","D6","Unverified","$0.04"
"12/13/2010","2010","2010","D6","Unverified","$0.04"
"12/20/2010","2010","2010","D6","Unverified","$0.02"
"12/27/2010","2010","2010","D6","Unverified","$0.22"
"1/3/2011","2011","2010","D6","Unverified","$0.02"
"1/10/2011","2011","2010","D6","Unverified","$0.02"
"1/10/2011","2011","2011","D6","Unverified","$0.02"
"1/17/2011","2011","2010","D6","Unverified","$0.02"
"1/17/2011","2011","2011","D6","Unverified","$0.02"
"1/24/2011","2011","2010","D6","Unverified","$0.01"
"1/24/2011","2011","2011","D6","Unverified","$0.02"
"1/31/2011","2011","2010","D6","Unverified","$0.01"
"1/31/2011","2011","2011","D6","Unverified","$0.03"
"2/7/2011","2011","2010","D6","Unverified","$0.01"
"2/7/2011","2011","2011","D6","Unverified","$0.03"
"2/14/2011","2011","2010","D6","Unverified","$0.01"
"2/14/2011","2011","2011","D6","Unverified","$0.03"
"2/21/2011","2011","2010","D6","Unverified","$0.01"
"2/21/2011","2011","2011","D6","Unverified","$0.02"
"2/28/2011","2011","2010","D6","Unverified","$0.01"
"2/28/2011","2011","2011","D6","Unverified","$0.02"
"3/7/2011","2011","2010","D6","Unverified","$0.01"
"3/7/2011","2011","2011","D6","Unverified","$0.04"
"3/14/2011","2011","2010","D6","Unverified","$0.01"
"3/14/2011","2011","2011","D6","Unverified","$0.03"
"3/21/2011","2011","2010","D6","Unverified","$0.13"
"3/21/2011","2011","2011","D6","Unverified","$0.03"
"3/28/2011","2011","2010","D6","Unverified","$0.01"
"3/28/2011","2011","2011","D6","Unverified","$0.04"
"4/4/2011","2011","2010","D6","Unverified","$0.01"
"4/4/2011","2011","2011","D6","Unverified","$0.04"
"4/11/2011","2011","2010","D6","Unverified","$0.01"
"4/11/2011","2011","2011","D6","Unverified","$0.04"
"4/18/2011","2011","2010","D6","Unverified","$0.01"
"4/18/2011","2011","2011","D6","Unverified","$0.03"
"4/25/2011","2011","2010","D6","Unverified","$0.01"
"4/25/2011","2011","2011","D6","Unverified","$0.04"
"5/2/2011","2011","2010","D6","Unverified","$0.01"
"5/2/2011","2011","2011","D6","Unverified","$0.03"
"5/9/2011","2011","2010","D6","Unverified","$0.01"
"5/9/2011","2011","2011","D6","Unverified","$0.03"
"5/16/2011","2011","2010","D6","Unverified","$0.01"
"5/16/2011","2011","2011","D6","Unverified","$0.02"
"5/23/2011","2011","2010","D6","Unverified","$0.01"
"5/23/2011","2011","2011","D6","Unverified","$0.09"
"5/30/2011","2011","2010","D6","Unverified","$0.01"
"5/30/2011","2011","2011","D6","Unverified","$0.03"
"6/6/2011","2011","2010","D6","Unverified","$0.01"
"6/6/2011","2011","2011","D6","Unverified","$0.03"
"6/13/2011","2011","2010","D6","Unverified","$0.01"
"6/13/2011","2011","2011","D6","Unverified","$0.03"
"6/20/2011","2011","2010","D6","Unverified","$0.01"
"6/20/2011","2011","2011","D6","Unverified","$0.04"
"6/27/2011","2011","2010","D6","Unverified","$0.01"
"6/27/2011","2011","2011","D6","Unverified","$0.03"
"7/4/2011","2011","2010","D6","Unverified","$0.01"
"7/4/2011","2011","2011","D6","Unverified","$0.03"
"7/11/2011","2011","2010","D6","Unverified","$0.01"
"7/11/2011","2011","2011","D6","Unverified","$0.03"
"7/18/2011","2011","2010","D6","Unverified","$0.01"
"7/18/2011","2011","2011","D6","Unverified","$0.04"
"7/25/2011","2011","2010","D6","Unverified","$0.01"
"7/25/2011","2011","2011","D6","Unverified","$0.03"
"8/1/2011","2011","2010","D6","Unverified","$0.01"
"8/1/2011","2011","2011","D6","Unverified","$0.03"
"8/8/2011","2011","2010","D6","Unverified","$0.03"
"8/8/2011","2011","2011","D6","Unverified","$0.03"
"8/15/2011","2011","2010","D6","Unverified","$0.02"
"8/15/2011","2011","2011","D6","Unverified","$0.03"
"8/22/2011","2011","2010","D6","Unverified","$0.01"
"8/22/2011","2011","2011","D6","Unverified","$0.03"
"8/29/2011","2011","2010","D6","Unverified","$0.01"
"8/29/2011","2011","2011","D6","Unverified","$0.03"
"9/5/2011","2011","2010","D6","Unverified","$0.01"
"9/5/2011","2011","2011","D6","Unverified","$0.03"
"9/12/2011","2011","2010","D6","Unverified","$0.01"
"9/12/2011","2011","2011","D6","Unverified","$0.03"
"9/19/2011","2011","2010","D6","Unverified","$0.02"
"9/19/2011","2011","2011","D6","Unverified","$0.03"
"9/26/2011","2011","2010","D6","Unverified","$0.01"
"9/26/2011","2011","2011","D6","Unverified","$0.03"
"10/3/2011","2011","2010","D6","Unverified","$0.01"
"10/3/2011","2011","2011","D6","Unverified","$0.03"
"10/10/2011","2011","2010","D6","Unverified","$0.01"
"10/10/2011","2011","2011","D6","Unverified","$0.03"
"10/17/2011","2011","2011","D6","Unverified","$0.02"
"10/24/2011","2011","2010","D6","Unverified","$0.01"
"10/24/2011","2011","2011","D6","Unverified","$0.03"
"10/31/2011","2011","2010","D6","Unverified","$0.01"
"10/31/2011","2011","2011","D6","Unverified","$0.02"
"11/7/2011","2011","2011","D6","Unverified","$0.02"
"11/14/2011","2011","2011","D6","Unverified","$0.01"
"11/21/2011","2011","2011","D6","Unverified","$0.01"
"11/28/2011","2011","2010","D6","Unverified","$0.01"
"11/28/2011","2011","2011","D6","Unverified","$0.01"
"12/5/2011","2011","2010","D6","Unverified","$0.01"
"12/5/2011","2011","2011","D6","Unverified","$0.01"
"12/12/2011","2011","2010","D6","Unverified","$0.01"
"12/12/2011","2011","2011","D6","Unverified","$0.03"
"12/19/2011","2011","2011","D6","Unverified","$0.03"
"12/26/2011","2011","2010","D6","Unverified","$0.01"
"12/26/2011","2011","2011","D6","Unverified","$0.02"
"1/2/2012","2012","2011","D6","Unverified","$0.01"
"1/2/2012","2012","2012","D6","Unverified","$0.01"
"1/9/2012","2012","2010","D6","Unverified","$0.01"
"1/9/2012","2012","2011","D6","Unverified","$0.04"
"1/9/2012","2012","2012","D6","Unverified","$0.01"
"1/16/2012","2012","2010","D6","Unverified","$0.01"
"1/16/2012","2012","2011","D6","Unverified","$0.01"
"1/16/2012","2012","2012","D6","Unverified","$0.03"
"1/23/2012","2012","2011","D6","Unverified","$0.01"
"1/23/2012","2012","2012","D6","Unverified","$0.03"
"1/30/2012","2012","2011","D6","Unverified","$0.01"
"1/30/2012","2012","2012","D6","Unverified","$0.02"
"2/6/2012","2012","2011","D6","Unverified","$0.01"
"2/6/2012","2012","2012","D6","Unverified","$0.02"
"2/13/2012","2012","2010","D6","Unverified","$0.01"
"2/13/2012","2012","2011","D6","Unverified","$0.10"
"2/13/2012","2012","2012","D6","Unverified","$1.25"
"2/20/2012","2012","2010","D6","Unverified","$0.03"
"2/20/2012","2012","2011","D6","Unverified","$0.01"
"2/20/2012","2012","2012","D6","Unverified","$0.02"
"2/27/2012","2012","2010","D6","Unverified","$0.01"
"2/27/2012","2012","2011","D6","Unverified","$0.02"
"2/27/2012","2012","2012","D6","Unverified","$0.03"
"3/5/2012","2012","2011","D6","Unverified","$0.01"
"3/5/2012","2012","2012","D6","Unverified","$0.02"
"3/12/2012","2012","2012","D6","Unverified","$0.02"
"3/19/2012","2012","2011","D6","Unverified","$0.01"
"3/19/2012","2012","2012","D6","Unverified","$0.02"
"3/26/2012","2012","2011","D6","Unverified","$0.01"
"3/26/2012","2012","2012","D6","Unverified","$0.02"
"4/2/2012","2012","2012","D6","Unverified","$0.02"
"4/9/2012","2012","2011","D6","Unverified","$0.01"
"4/9/2012","2012","2012","D6","Unverified","$0.02"
"4/16/2012","2012","2012","D6","Unverified","$0.02"
"4/23/2012","2012","2011","D6","Unverified","$0.01"
"4/23/2012","2012","2012","D6","Unverified","$0.02"
"4/30/2012","2012","2011","D6","Unverified","$0.01"
"4/30/2012","2012","2012","D6","Unverified","$0.03"
"5/7/2012","2012","2011","D6","Unverified","$0.01"
"5/7/2012","2012","2012","D6","Unverified","$0.02"
"5/14/2012","2012","2011","D6","Unverified","$0.01"
"5/14/2012","2012","2012","D6","Unverified","$0.07"
"5/21/2012","2012","2011","D6","Unverified","$0.01"
"5/21/2012","2012","2012","D6","Unverified","$0.02"
"5/28/2012","2012","2011","D6","Unverified","$0.03"
"5/28/2012","2012","2012","D6","Unverified","$0.02"
"6/4/2012","2012","2012","D6","Unverified","$0.02"
"6/11/2012","2012","2012","D6","Unverified","$0.02"
"6/18/2012","2012","2012","D6","Unverified","$0.02"
"6/25/2012","2012","2011","D6","Unverified","$0.01"
"6/25/2012","2012","2012","D6","Unverified","$0.02"
"7/2/2012","2012","2011","D6","Unverified","$0.01"
"7/2/2012","2012","2012","D6","Unverified","$0.05"
"7/9/2012","2012","2011","D6","Unverified","$0.01"
"7/9/2012","2012","2012","D6","Unverified","$0.02"
"7/16/2012","2012","2011","D6","Unverified","$0.01"
"7/16/2012","2012","2012","D6","Unverified","$0.03"
"7/23/2012","2012","2011","D6","Unverified","$0.01"
"7/23/2012","2012","2012","D6","Unverified","$0.06"
"7/30/2012","2012","2011","D6","Unverified","$0.05"
"7/30/2012","2012","2012","D6","Unverified","$0.06"
"8/6/2012","2012","2011","D6","Unverified","$0.07"
"8/6/2012","2012","2012","D6","Unverified","$0.04"
"8/13/2012","2012","2011","D6","Unverified","$0.01"
"8/13/2012","2012","2012","D6","Unverified","$0.04"
"8/20/2012","2012","2011","D6","Unverified","$0.04"
"8/20/2012","2012","2012","D6","Unverified","$0.06"
"8/27/2012","2012","2011","D6","Unverified","$0.10"
"8/27/2012","2012","2012","D6","Unverified","$0.06"
"9/3/2012","2012","2011","D6","Unverified","$0.04"
"9/3/2012","2012","2012","D6","Unverified","$0.03"
