Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),Assignment,QAP Type,Total RINs Traded
"6/27/2016","2016","2016","D6","Assigned","Unverified","470,818,061"
"6/27/2016","2016","2016","D6","Separated","Q-RIN","21,836,638"
"6/27/2016","2016","2016","D6","Separated","Unverified","605,301,223"
"7/4/2016","2016","2014","D6","Separated","Unverified","57,384,254"
"7/4/2016","2016","2015","D6","Separated","Unverified","3,851,581"
"7/4/2016","2016","2016","D6","Assigned","Q-RIN","37,052,727"
"7/4/2016","2016","2016","D6","Assigned","Unverified","414,819,854"
"7/4/2016","2016","2016","D6","Separated","Q-RIN","50,897"
"7/4/2016","2016","2016","D6","Separated","Unverified","167,319,256"
"7/11/2016","2016","2013","D6","Separated","Unverified","2,539,443"
"7/11/2016","2016","2014","D6","Separated","Unverified","40,000,000"
"7/11/2016","2016","2015","D6","Assigned","Unverified","16,349"
"7/11/2016","2016","2015","D6","Separated","Unverified","101,416,736"
"7/11/2016","2016","2016","D6","Assigned","Q-RIN","46,945,663"
"7/11/2016","2016","2016","D6","Assigned","Unverified","438,197,269"
"7/11/2016","2016","2016","D6","Separated","Q-RIN","12,154,565"
"7/11/2016","2016","2016","D6","Separated","Unverified","280,823,094"
"7/18/2016","2016","2013","D6","Separated","Unverified","20,032,977"
"7/18/2016","2016","2014","D6","Separated","Unverified","90,337,512"
"7/18/2016","2016","2015","D6","Assigned","Unverified","16,349"
"7/18/2016","2016","2015","D6","Separated","Unverified","26,792,028"
"7/18/2016","2016","2016","D6","Assigned","Q-RIN","38,493,322"
"7/18/2016","2016","2016","D6","Assigned","Unverified","452,580,822"
"7/18/2016","2016","2016","D6","Separated","Q-RIN","9,237,684"
"7/18/2016","2016","2016","D6","Separated","Unverified","268,914,272"
"7/25/2016","2016","2013","D6","Separated","Unverified","18,321,974"
"7/25/2016","2016","2014","D6","Separated","Unverified","529,519,505"
"7/25/2016","2016","2015","D6","Separated","Unverified","37,283,133"
"7/25/2016","2016","2016","D6","Assigned","Q-RIN","43,990,184"
"7/25/2016","2016","2016","D6","Assigned","Unverified","482,378,681"
"7/25/2016","2016","2016","D6","Separated","Q-RIN","781,590"
"7/25/2016","2016","2016","D6","Separated","Unverified","368,313,499"
"8/1/2016","2016","2014","D6","Separated","Unverified","22,270,747"
"8/1/2016","2016","2015","D6","Assigned","Unverified","294,464"
"8/1/2016","2016","2015","D6","Separated","Unverified","32,794,932"
"8/1/2016","2016","2016","D6","Assigned","Q-RIN","42,457,122"
"8/1/2016","2016","2016","D6","Assigned","Unverified","396,919,741"
"8/1/2016","2016","2016","D6","Separated","Q-RIN","1,983,499"
"8/1/2016","2016","2016","D6","Separated","Unverified","219,969,520"
"8/8/2016","2016","2014","D6","Separated","Unverified","7,689"
"8/8/2016","2016","2015","D6","Separated","Unverified","7,896,466"
"8/8/2016","2016","2016","D6","Assigned","Q-RIN","39,619,906"
"8/8/2016","2016","2016","D6","Assigned","Unverified","448,520,276"
"8/8/2016","2016","2016","D6","Separated","Q-RIN","3,275,647"
"8/8/2016","2016","2016","D6","Separated","Unverified","226,913,190"
"8/15/2016","2016","2015","D6","Assigned","Unverified","32,715"
"8/15/2016","2016","2015","D6","Separated","Unverified","21,111,620"
"8/15/2016","2016","2016","D6","Assigned","Q-RIN","38,317,391"
"8/15/2016","2016","2016","D6","Assigned","Unverified","445,226,181"
"8/15/2016","2016","2016","D6","Separated","Q-RIN","2,073,768"
"8/15/2016","2016","2016","D6","Separated","Unverified","292,709,226"
"8/22/2016","2016","2014","D6","Separated","Unverified","7,546,210"
"8/22/2016","2016","2015","D6","Assigned","Unverified","32,715"
"8/22/2016","2016","2015","D6","Separated","Unverified","8,118,172"
"8/22/2016","2016","2016","D6","Assigned","Q-RIN","37,098,416"
"8/22/2016","2016","2016","D6","Assigned","Unverified","451,869,426"
"8/22/2016","2016","2016","D6","Separated","Q-RIN","797,738"
"8/22/2016","2016","2016","D6","Separated","Unverified","257,747,032"
"8/29/2016","2016","2015","D6","Separated","Unverified","4,225,132"
"8/29/2016","2016","2016","D6","Assigned","Q-RIN","42,563,598"
"8/29/2016","2016","2016","D6","Assigned","Unverified","451,573,652"
"8/29/2016","2016","2016","D6","Separated","Q-RIN","3,663,385"
"8/29/2016","2016","2016","D6","Separated","Unverified","365,796,864"
"9/5/2016","2016","2015","D6","Separated","Unverified","1,590,289"
"9/5/2016","2016","2016","D6","Assigned","Q-RIN","48,681,379"
"9/5/2016","2016","2016","D6","Assigned","Unverified","414,254,892"
"9/5/2016","2016","2016","D6","Separated","Q-RIN","1,951,731"
"9/5/2016","2016","2016","D6","Separated","Unverified","208,138,973"
"9/12/2016","2016","2014","D6","Separated","Unverified","3,786"
"9/12/2016","2016","2015","D6","Separated","Unverified","19,158,488"
"9/12/2016","2016","2016","D6","Assigned","Q-RIN","49,166,429"
"9/12/2016","2016","2016","D6","Assigned","Unverified","451,726,396"
"9/12/2016","2016","2016","D6","Separated","Q-RIN","7,701,958"
"9/12/2016","2016","2016","D6","Separated","Unverified","393,241,872"
"9/19/2016","2016","2015","D6","Separated","Unverified","13,136,223"
"9/19/2016","2016","2016","D6","Assigned","Q-RIN","42,606,833"
"9/19/2016","2016","2016","D6","Assigned","Unverified","467,449,028"
"9/19/2016","2016","2016","D6","Separated","Q-RIN","5,498,022"
"9/19/2016","2016","2016","D6","Separated","Unverified","444,632,674"
"9/26/2016","2016","2014","D6","Separated","Unverified","944,716"
"9/26/2016","2016","2015","D6","Separated","Unverified","6,849,982"
"9/26/2016","2016","2016","D6","Assigned","Q-RIN","72,905,688"
"9/26/2016","2016","2016","D6","Assigned","Unverified","481,164,121"
"9/26/2016","2016","2016","D6","Separated","Q-RIN","51,672,179"
"9/26/2016","2016","2016","D6","Separated","Unverified","573,062,518"
"10/3/2016","2016","2015","D6","Separated","Unverified","96,259,152"
"10/3/2016","2016","2016","D6","Assigned","Q-RIN","35,112,119"
"10/3/2016","2016","2016","D6","Assigned","Unverified","412,540,283"
"10/3/2016","2016","2016","D6","Separated","Q-RIN","11,894,398"
"10/3/2016","2016","2016","D6","Separated","Unverified","231,372,146"
"10/10/2016","2016","2015","D6","Separated","Q-RIN","48,109"
"10/10/2016","2016","2015","D6","Separated","Unverified","73,513,754"
"10/10/2016","2016","2016","D6","Assigned","Q-RIN","46,442,716"
"10/10/2016","2016","2016","D6","Assigned","Unverified","456,688,499"
"10/10/2016","2016","2016","D6","Separated","Q-RIN","2,972,039"
"10/10/2016","2016","2016","D6","Separated","Unverified","272,496,946"
"10/17/2016","2016","2014","D6","Separated","Unverified","26,260"
"10/17/2016","2016","2015","D6","Separated","Q-RIN","48,109"
"10/17/2016","2016","2015","D6","Separated","Unverified","37,834,519"
"10/17/2016","2016","2016","D6","Assigned","Q-RIN","37,018,320"
"10/17/2016","2016","2016","D6","Assigned","Unverified","419,179,706"
"10/17/2016","2016","2016","D6","Separated","Q-RIN","7,329,752"
"10/17/2016","2016","2016","D6","Separated","Unverified","348,913,648"
"10/24/2016","2016","2014","D6","Separated","Unverified","1,569,969"
"10/24/2016","2016","2015","D6","Separated","Q-RIN","33,549"
"10/24/2016","2016","2015","D6","Separated","Unverified","142,613,063"
"10/24/2016","2016","2016","D6","Assigned","Q-RIN","45,435,588"
"10/24/2016","2016","2016","D6","Assigned","Unverified","450,058,608"
"10/24/2016","2016","2016","D6","Separated","Q-RIN","53,760"
"10/24/2016","2016","2016","D6","Separated","Unverified","310,376,000"
